Cve. Materia,Materia,Clave de Grupo,Tipo Grupo,Modalidad,Docente,Campus,Salón,Horario
DIS-1405-00,HISTORIA DEL DISEÑO GRAFICO,E,Teoria,Presencial,... ... ...,CU,107-B-101-e,Martes 10:00-12:00
DIS-1405-00,HISTORIA DEL DISEÑO GRAFICO,E-L1,Laboratorio,Presencial,... ... ...,CU,107-B-101-e,Jueves 10:00-12:00
DIS-1406-00,DISEÑO GRAFICO EN MEXICO,C,Teoria,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-D3-301-b,Martes 12:00-14:00
DIS-1406-00,DISEÑO GRAFICO EN MEXICO,C-L1,Laboratorio,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-D3-301-b,Jueves 12:00-14:00
DIS-1406-00,DISEÑO GRAFICO EN MEXICO,D,Teoria,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-B-101-c,Lunes 14:00-16:00
DIS-1406-00,DISEÑO GRAFICO EN MEXICO,D-L1,Laboratorio,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-B-101-c,Miércoles 14:00-16:00
DIS-1407-00,METODOLOGIA DEL DISEÑO,E,Teoria,Presencial,PEREZ ENRIQUEZ ALEJANDRA,CU,107-B-101-e,Lunes 8:00-10:00
DIS-1407-00,METODOLOGIA DEL DISEÑO,E-L1,Laboratorio,Presencial,PEREZ ENRIQUEZ ALEJANDRA,CU,107-B-101-e,"Miércoles 8:00-10:00, Viernes 8:00-10:00"
DIS-1407-00,METODOLOGIA DEL DISEÑO,F,Teoria,Presencial,CORTES ESPINOZA JOSE CRISTOBAL,CU,107-B-101-b,Lunes 12:00-14:00
DIS-1407-00,METODOLOGIA DEL DISEÑO,F-L1,Laboratorio,Presencial,CORTES ESPINOZA JOSE CRISTOBAL,CU,107-B-101-b,"Miércoles 12:00-14:00, Viernes 12:00-14:00"
DIS-1408-00,TECNOLOGIA PARA EL DISEÑO II,E,Teoria,Presencial,MORALES GUERRERO JOSE MIGUEL,CU,107-D4-215,Lunes 8:00-9:00
DIS-1408-00,TECNOLOGIA PARA EL DISEÑO II,E-L1,Laboratorio,Presencial,MORALES GUERRERO JOSE MIGUEL,CU,107-D4-215,"Lunes 9:00-10:00, Miércoles 8:00-10:00"
DIS-1409-00,PERCEPCION Y COLOR,C,Teoria,Presencial,FRAUSTO ACOSTA OSCAR IGNACIO,CU,107-B-101-h,Martes 10:00-12:00
,,,,,,,,,
DIS-1409-00,PERCEPCION Y COLOR,C-L1,Laboratorio,Presencial,FRAUSTO ACOSTA OSCAR IGNACIO,CU,107-B-101-h,Jueves 10:00-12:00
DIS-1410-00,MATEMATICAS PARA EL DISEÑO GRAFICO,C,Teoria,Presencial,LEYVA RODRIGUEZ JULIO CESAR,CU,107-D3-301-b,Lunes 10:00-11:00
DIS-1410-00,MATEMATICAS PARA EL DISEÑO GRAFICO,C-L1,Laboratorio,Presencial,LEYVA RODRIGUEZ JULIO CESAR,CU,107-D3-301-b,"Lunes 11:00-12:00, Miércoles 10:00-12:00"
DIS-1411-00,TALLER DE SEMIOTICA Y DISEÑO,C,Teoria,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-101-b,Martes 14:00-16:00
DIS-1411-00,TALLER DE SEMIOTICA Y DISEÑO,C-L1,Laboratorio,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-101-b,Jueves 14:00-16:00
DIS-1413-00,IDENTIDAD Y SISTEMAS VISUALES,C,Teoria,Presencial,PEREZ ENRIQUEZ ALEJANDRA,CU,107-B-101-d,Lunes 12:00-14:00
DIS-1413-00,IDENTIDAD Y SISTEMAS VISUALES,C-L1,Laboratorio,Presencial,PEREZ ENRIQUEZ ALEJANDRA,CU,107-B-101-d,"Miércoles 12:00-14:00, Viernes 12:00-14:00"
DIS-1414-00,INFODISEÑO,C,Teoria,Presencial,... ... ...,CU,107-D4-215,Martes 8:00-10:00
DIS-1414-00,INFODISEÑO,C-L1,Laboratorio,Presencial,... ... ...,CU,107-D4-215,Jueves 8:00-10:00
DIS-1416-00,PRE-PRENSA DIGITAL,C,Teoria,Presencial,SAENZ GUTIERREZ KARLA,CU,107-D1-112,Martes 12:00-14:00
DIS-1416-00,PRE-PRENSA DIGITAL,C-L1,Laboratorio,Presencial,SAENZ GUTIERREZ KARLA,CU,107-D1-112,Jueves 12:00-14:00
DIS-1416-00,PRE-PRENSA DIGITAL,D,Teoria,Presencial,ZORRILLA BRIONES MANUEL,CU,107-D1-112,Lunes 10:00-12:00
DIS-1416-00,PRE-PRENSA DIGITAL,D-L1,Laboratorio,Presencial,ZORRILLA BRIONES MANUEL,CU,107-D1-112,Miércoles 10:00-12:00
